words,1,2,3,dop,l_en,r_en,score,diff_en,rep_words,dop1,l_en1,r_en1,diff_en1,score1
不着,1.6156707e-06,8.401488e-05,52.00000056292082,-8.389699,0.69897,1.8808136,-5.8099155,-1.1818436,睡不着,-7.6768312,1.0791812,1.146128,-0.06694679999999997,-5.451522
块钱买的,1.6156707e-06,8.401488e-05,52.00000056292082,-8.389409,1.39794,2.2648177,-4.726651,-0.8668777000000001,十块钱买,-7.4906144,1.6232493,1.7323937,-0.10914440000000014,-4.134971
ROW,1.2501552e-07,6.462682999999999e-06,51.69504563107403,-7.9864206,1.94939,2.604226,-3.4328046,-0.6548360000000002,ARROW,-7.6937456,2.089905,2.307496,-0.2175910000000001,-3.2963448
介意勿,1.2501552e-07,6.462682999999999e-06,51.69504563107403,-8.041596,1.748188,1.1760913,-5.117317,0.5720967000000001,介意勿扰,-8.129792,1.4313638,1.146128,0.28523579999999993,-5.5523
性价比不,1.6156707e-06,8.239921e-05,51.000000985111456,-8.72355,2.1271048,1.30103,-5.295415,0.8260748000000002,性价比不高,-6.8530126,2.045323,2.0,0.04532299999999978,-2.8076897
真是气死,1.6156707e-06,8.239921e-05,51.000000985111456,-8.30522,1.6334685,1.0413927,-5.630358,0.5920757999999999,,,,,,
充不上,1.6156707e-06,8.239921e-05,51.000000985111456,-8.378952,1.7160033,1.20412,-5.4588284,0.5118832999999998,充不上电,-8.246189,1.1760913,1.3222193,-0.14612800000000004,-5.7478786
买回来试,1.6156707e-06,8.239921e-05,51.000000985111456,-7.377163,1.763428,1.146128,-4.467607,0.6173,买回来试试,-6.9790964,1.5314789,1.50515,0.02632889999999999,-3.9424677
总体感觉还,1.6156707e-06,8.239921e-05,51.000000985111456,-7.267349,1.50515,0.90309,-4.859109,0.60206,,,,,,
没好,1.6156707e-06,8.239921e-05,51.000000985111456,-9.424315,1.763428,2.2878017,-5.373086,-0.5243737000000002,感冒还没好,-7.124329,1.60206,1.4913617,0.11069830000000014,-4.0309076
但就,1.6156707e-06,8.239921e-05,51.000000985111456,-9.041293,2.4377506,1.8129133,-4.790629,0.6248373000000003,,,,,,
太坑人,1.6156707e-06,8.239921e-05,51.000000985111456,-7.96435,1.6232493,1.0413927,-5.299708,0.5818565999999998,坑人,-8.887105,1.7075702,1.8750613,-0.16749110000000011,-5.304474
骂人,3.875481e-06,0.00019388049,50.027464738573855,-8.037403,1.6334685,0.69897,-5.7049646,0.9344985,骂人生成器,-5.7302933,1.0,0.845098,0.15490199999999998,-3.8851953
